date,all_m,all_b,all_r,all_am,all_f,all_s,all_cl,all_cr,all_i,all_ar,all_p,all_ani,all_all,end_m,thrt_m,end_b,thrt_b,end_r,thrt_r,end_am,thrt_am,end_f,thrt_f,end_s,thrt_s,end_cl,thrt_cl,end_cr,thrt_cr,end_i,thrt_i,end_ar,thrt_ar,end_p,thrt_p,end_all,thrt_all
31-Oct-95,64,90,33,12,105,22,57,17,29,5,526,434,960,55,9,74,16,14,19,7,5,65,40,15,7,51,6,14,3,20,9,5,0,434,92,754,206
31-Dec-95,64,90,33,12,105,22,57,17,29,5,526,434,960,55,9,74,16,14,19,7,5,65,40,15,7,51,6,14,3,20,9,5,0,434,92,754,206
29-Feb-96,64,90,33,12,105,22,57,17,29,5,525,434,959,55,9,74,16,14,19,7,5,65,40,15,7,51,6,14,3,20,9,5,0,433,92,753,206
30-Apr-96,64,90,33,12,105,22,57,17,29,5,525,434,959,55,9,74,16,14,19,7,5,65,40,15,7,51,6,14,3,20,9,5,0,432,93,752,207
30-Jun-96,64,90,33,13,105,22,57,17,29,5,525,435,960,55,9,74,16,14,19,7,6,65,40,15,7,51,6,14,3,20,9,5,0,431,94,751,209
31-Aug-96,64,90,33,13,105,22,57,17,29,5,529,435,964,55,9,74,16,14,19,7,6,65,40,15,7,51,6,14,3,20,9,5,0,435,94,755,209
31-Oct-96,64,90,33,13,106,22,57,17,29,5,613,436,1049,55,9,74,16,14,19,7,6,67,39,15,7,51,6,14,3,20,9,5,0,513,100,835,214
31-Jan-97,64,90,34,14,107,22,62,17,33,5,623,448,1071,55,9,74,16,14,20,8,6,67,40,15,7,56,6,14,3,24,9,5,0,518,105,850,221
31-Mar-97,63,89,33,14,107,22,62,18,33,5,634,446,1080,55,8,75,14,15,18,8,6,67,40,15,7,56,6,15,3,24,9,5,0,523,111,858,222
31-May-97,63,89,33,15,107,22,62,18,33,5,635,447,1082,55,8,75,14,15,18,9,6,67,40,15,7,56,6,15,3,24,9,5,0,523,112,859,223
30-Jun-97,63,90,32,16,108,22,62,18,33,5,641,449,1090,56,7,75,15,14,18,9,7,67,41,15,7,56,6,15,3,24,9,5,0,528,113,864,226
30-Jun-97,64,90,32,16,108,22,62,18,33,5,657,450,1100,57,7,75,15,14,18,9,7,67,41,15,7,56,6,15,3,24,9,5,0,542,115,879,221
30-Nov-97,64,90,33,16,108,22,62,18,33,5,668,451,1119,57,7,75,15,14,19,9,7,67,41,15,7,56,6,15,3,24,9,5,0,553,115,890,229
31-Dec-97,65,90,34,16,108,22,62,19,37,5,668,458,1126,58,7,75,15,14,20,9,7,67,41,15,7,56,6,16,3,28,9,5,0,553,115,896,230
30-Apr-98,66,90,34,16,108,22,69,19,37,5,669,466,1125,59,7,75,15,14,20,9,7,67,41,15,7,61,8,16,3,28,9,5,0,553,116,902,223
30-Jun-98,67,90,34,16,107,22,69,19,37,5,669,466,1135,59,8,75,15,14,20,9,7,68,39,15,7,61,8,16,3,28,9,5,0,553,116,903,232
30-Sep-98,67,90,36,16,108,22,69,20,37,5,685,470,1155,59,8,75,15,14,22,9,7,68,40,15,7,61,8,17,3,28,9,5,0,559,126,910,245
30-Nov-98,67,90,35,16,108,28,69,20,37,5,702,475,1177,59,8,75,15,14,21,9,7,69,39,18,10,61,8,17,3,28,9,5,0,567,135,922,255
28-Feb-99,68,90,35,16,110,28,69,20,37,5,702,478,1180,60,8,75,15,14,21,9,7,70,40,18,10,61,8,17,3,28,9,5,0,567,135,924,256
30-Apr-99,69,90,35,17,110,28,69,20,37,5,703,480,1183,61,8,75,15,14,21,9,8,69,41,18,10,61,8,17,3,28,9,5,0,568,135,925,258
30-Jun-99,69,90,35,17,110,28,69,20,37,5,706,480,1186,61,8,75,15,14,21,9,8,69,41,18,10,61,8,17,3,28,9,5,0,568,138,925,261
31-Aug-99,69,89,36,17,111,28,69,20,37,5,706,481,1187,61,8,74,15,14,22,9,8,69,42,18,10,61,8,17,3,28,9,5,0,568,138,924,263
31-Oct-99,69,89,36,17,112,28,69,20,37,5,718,482,1200,61,8,74,15,14,22,9,8,69,43,18,10,61,8,17,3,28,9,5,0,578,140,934,266
31-Dec-99,69,89,36,17,113,28,69,20,37,5,721,483,1204,61,8,74,15,14,22,9,8,69,44,18,10,61,8,17,3,28,9,5,0,581,140,937,267
30-Apr-00,72,92,36,18,112,31,69,21,38,6,735,495,1230,63,9,77,15,14,22,10,8,68,44,20,11,61,8,18,3,30,8,6,0,593,142,960,270
30-Jun-00,72,92,36,18,113,31,69,21,39,6,735,497,1232,63,9,77,15,14,22,10,8,69,44,20,11,61,8,18,3,30,9,6,0,593,142,961,271
31-Aug-00,72,93,36,18,113,31,69,21,39,6,735,498,1233,63,9,78,15,14,22,10,8,69,44,20,11,61,8,18,3,30,9,6,0,593,142,962,271
31-Oct-00,72,93,36,18,113,31,69,21,39,6,736,498,1234,63,9,78,15,14,22,10,8,69,44,20,11,61,8,18,3,30,9,6,0,592,144,961,273
31-Dec-00,72,93,36,18,114,31,69,21,42,12,736,508,1244,63,9,78,15,14,22,10,8,70,44,20,11,61,8,18,3,33,9,12,0,592,144,971,273
31-Aug-01,72,92,36,18,114,31,69,21,42,12,737,507,1244,63,9,78,14,14,22,10,8,70,44,20,11,61,8,18,3,33,9,12,0,593,144,972,272
31-Dec-01,73,92,36,19,115,32,70,21,44,12,740,514,1254,64,9,78,14,14,22,11,8,71,44,21,11,62,8,18,3,35,9,12,0,595,145,981,273
31-May-02,74,92,36,19,115,32,70,21,44,12,743,515,1258,65,9,78,14,14,22,11,8,71,44,21,11,62,8,18,3,35,9,12,0,596,147,983,275
31-Aug-02,74,92,36,21,115,32,70,21,44,12,744,517,1261,65,9,78,14,14,22,12,9,71,44,21,11,62,8,18,3,35,9,12,0,597,147,985,276
31-Jan-03,74,92,36,21,115,32,70,21,44,12,745,517,1262,65,9,78,14,14,22,12,9,71,44,21,11,62,8,18,3,35,9,12,0,598,147,986,276
31-Mar-03,74,92,36,21,115,32,70,21,44,12,745,517,1262,65,9,78,14,14,22,12,9,71,44,21,11,62,8,18,3,35,9,12,0,598,147,986,276
14-Apr-03,74,92,36,21,115,32,70,21,44,12,745,517,1262,65,9,78,14,14,22,12,9,71,44,21,11,62,8,18,3,35,9,12,0,598,147,986,276
1-Sep-03,74,92,36,21,115,32,70,21,44,12,746,517,1263,65,9,78,14,14,22,12,9,71,44,21,11,62,8,18,3,35,9,12,0,599,147,987,276
1-Jan-04,74,92,36,21,114,32,70,21,44,12,744,516,1260,65,9,78,14,14,22,12,9,71,43,21,11,62,8,18,3,35,9,12,0,597,147,985,275
29-Feb-04,74,90,36,21,114,32,70,21,44,12,744,514,1258,65,9,76,14,14,22,12,9,71,43,21,11,62,8,18,3,35,9,12,0,597,147,983,275
1-Oct-04,78,90,36,21,114,32,70,21,44,12,746,518,1264,69,9,77,13,14,22,11,10,71,43,21,11,62,8,18,3,35,9,12,0,599,147,989,275
1-Nov-04,78,90,36,21,114,32,70,21,44,12,746,518,1264,69,9,77,13,14,22,11,10,71,43,21,11,62,8,18,3,35,9,12,0,599,147,989,275
5-Aug-05,78,90,36,21,114,32,70,21,44,12,746,518,1264,68,10,77,13,14,22,11,10,71,43,21,11,62,8,18,3,35,9,12,0,599,147,988,276
1-Mar-06,79,90,36,21,116,36,70,22,45,12,745,527,1262,68,11,77,13,14,22,12,9,74,42,24,12,62,8,19,3,36,9,12,0,599,146,987,275
1-Jul-06,81,91,37,23,137,36,70,22,57,12,744,566,1310,68,13,76,15,14,23,13,10,76,61,24,12,62,8,19,3,47,10,12,0,598,146,1008,302
15-Nov-06,82,91,37,23,137,36,70,22,57,12,744,567,1311,69,13,76,15,14,23,13,10,75,62,24,12,62,8,19,3,47,10,12,0,598,146,1009,302
29-Jan-07,82,91,37,23,137,36,70,22,57,12,744,567,1311,69,13,76,15,14,23,13,10,75,62,25,11,62,8,19,3,47,10,12,0,598,146,1010,301
19-Mar-08,81,91,37,23,137,36,70,22,57,12,744,566,1310,69,12,76,15,14,23,13,10,74,63,64,11,62,8,19,3,47,10,12,0,598,146,1009,301
13-May-08,81,90,37,23,139,75,70,22,57,12,744,606,1352,69,12,75,15,13,24,13,10,74,65,64,11,62,8,19,3,47,10,12,0,598,146,1046,306
13-Aug-08,82,90,37,23,139,75,70,22,57,12,744,607,1353,69,13,75,15,13,24,13,10,74,65,64,11,62,8,19,3,47,10,12,0,598,146,1046,307
28-Nov-08,84,90,37,24,139,75,70,22,57,12,746,610,1358,70,14,75,15,13,24,13,11,74,65,64,11,62,8,19,3,47,10,12,0,600,146,1049,309
23-Feb-09,84,90,37,24,139,35,70,22,57,12,746,570,1318,70,14,75,15,13,24,13,11,74,65,24,11,62,8,19,3,47,10,12,0,600,146,1009,309
3-Apr-09,82,90,37,25,139,35,70,22,57,12,746,569,1317,69,13,75,15,13,24,14,11,74,65,24,11,62,8,19,3,47,10,12,0,600,146,1009,308
25-Aug-09,84,90,37,25,139,35,70,22,57,12,746,571,1320,70,14,75,15,13,24,14,11,74,65,24,11,62,8,19,3,47,10,12,0,600,146,1011,309
2-Oct-09,85,90,37,25,139,35,70,22,57,12,746,572,1321,70,15,75,15,13,24,14,11,74,65,24,11,62,8,19,3,47,10,12,0,600,146,1011,310
1-Jun-10,85,92,37,25,140,35,70,22,60,12,795,578,1375,70,15,76,16,13,24,14,11,74,66,24,11,62,8,19,3,50,10,12,0,646,149,1060,315
27-Oct-10,83,92,37,24,139,34,70,22,60,12,793,573,1368,69,14,76,16,13,24,14,10,73,66,23,11,62,8,19,3,50,10,12,0,644,149,1055,313
